# This document produced by structureHarvester core version vB.1 July 2022
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vB.1 July 2022
# File generated at 2024-May-03 01:58:45 EDT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	10	-2772599.810000	34.121302
2	10	-2777303.610000	505.838508
3	10	-2787528.470000	8458.837748
4	10	-2819408.560000	21643.096221
5	10	-3123436.930000	122816.087705
6	10	-4264381.830000	473898.639493
7	10	-6314208.330000	1401132.515304
8	10	-9820875.940000	1237393.753957
9	10	-12543332.620000	2131326.169315
10	10	-13670161.060000	1273353.590401

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
Combined_cut_k5_run8_f		5	-3204651.3	-2757116.1	895070.5
Combined_cut_k5_run3_f		5	-3065992.9	-2757229.8	617526.3
Combined_cut_k5_run10_f		5	-2946099.6	-2756972.5	378254.2
Combined_cut_k5_run6_f		5	-3116096.5	-2757225.8	717741.4
Combined_cut_k5_run7_f		5	-3305047.4	-2757092.4	1095910.0
Combined_cut_k5_run1_f		5	-3085632.7	-2757293.8	656677.8
Combined_cut_k7_run8_f		7	-5930932.8	-2755943.8	6349978.1
Combined_cut_k7_run9_f		7	-8694573.2	-2756408.1	11876330.3
Combined_cut_k7_run4_f		7	-5503929.9	-2755758.2	5496343.3
Combined_cut_k7_run5_f		7	-5729724.9	-2755826.4	5947796.9
Combined_cut_k7_run10_f		7	-5778732.6	-2755753.1	6045959.0
Combined_cut_k7_run1_f		7	-8609766.0	-2757561.8	11704408.4
Combined_cut_k7_run7_f		7	-7238673.8	-2755799.4	8965748.8
Combined_cut_k7_run3_f		7	-5942565.2	-2756021.2	6373087.9
Combined_cut_k7_run2_f		7	-4684866.7	-2755432.0	3858869.4
Combined_cut_k7_run6_f		7	-5028318.2	-2755215.5	4546205.4
Combined_cut_k1_run3_f		1	-2772612.4	-2765734.1	13756.7
Combined_cut_k1_run8_f		1	-2772625.1	-2765731.2	13787.8
Combined_cut_k1_run9_f		1	-2772573.3	-2765733.0	13680.6
Combined_cut_k1_run10_f		1	-2772590.8	-2765732.0	13717.5
Combined_cut_k1_run5_f		1	-2772623.3	-2765732.3	13782.1
Combined_cut_k1_run4_f		1	-2772553.7	-2765730.4	13646.4
Combined_cut_k1_run1_f		1	-2772650.2	-2765734.3	13831.8
Combined_cut_k1_run6_f		1	-2772617.8	-2765732.4	13770.8
Combined_cut_k1_run2_f		1	-2772608.9	-2765732.2	13753.4
Combined_cut_k1_run7_f		1	-2772542.6	-2765731.4	13622.3
Combined_cut_k3_run4_f		3	-2782921.6	-2760274.2	45294.8
Combined_cut_k3_run8_f		3	-2785525.8	-2760251.1	50549.4
Combined_cut_k3_run2_f		3	-2788849.3	-2760325.4	57048.0
Combined_cut_k3_run6_f		3	-2799880.4	-2760318.6	79123.8
Combined_cut_k3_run3_f		3	-2782205.1	-2760230.3	43949.7
Combined_cut_k3_run1_f		3	-2781586.5	-2760297.2	42578.4
Combined_cut_k3_run9_f		3	-2782174.9	-2760259.0	43831.7
Combined_cut_k3_run10_f		3	-2781263.6	-2760377.5	41772.2
Combined_cut_k3_run5_f		3	-2785247.6	-2760184.0	50127.2
Combined_cut_k3_run7_f		3	-2805629.9	-2760354.8	90550.3

Software written by Dent Earl while at EEB Dept, UCLA, BME Dept UCSC
dearl (a) soe ucsc edu
CITATION:
Earl, Dent A. and vonHoldt, Bridgett M. (2012)
STRUCTURE HARVESTER: a website and program for visualizing
STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
Core version: vB.1 July 2022
